Date,GRA Purchases,PRGT 1/2/,Totals,Year,USD to SDR Exchange Rate,CPI,Adj_Totals
08/31/2022,93769635059,15254184552,1.09E+11,2022,0.781323,288.347,2.95E+10
12/31/2021,89474552025,14554823681,1.04E+11,2021,0.693477,270.970,2.66E+10
12/31/2020,93408630285,12481816684,1.06E+11,2020,0.722528,258.811,2.96E+10
12/31/2019,66945509865,6590835450,73536345315,2019,0.54,255.657,1.55E+10
12/31/2018,55395611392,6426181029,61821792421,2018,0.58252,251.107,1.43E+10
12/31/2017,39585385873,6522280669,46107666542,2017,0.58252,245.120,1.10E+10
12/31/2016,49267630851,6482647937,55750278788,2016,0.58252,240.007,1.35E+10
12/31/2015,50757840741,6575911158,57333751899,2015,0.66,237.017,1.60E+10
12/31/2014,69041563463,6292755583,75334319046,2014,0.66,236.736,2.10E+10
12/31/2013,83899249061,6174392682,90073641743,2013,0.66,232.957,2.55E+10
12/31/2012,90042348252,5766292503,95808640755,2012,0.66,229.594,2.75E+10
12/31/2011,87276915790,5308609594,92585525384,2011,0.66,224.939,2.72E+10
12/31/2010,55620104510,4819344134,60439448644,2010,0.66,218.056,1.83E+10
12/31/2009,37221142436,5079705286,42300847722,2009,0.632,214.537,1.25E+10
12/31/2008,17514964723,3972372030,21487336753,2008,0.632,215.303,6.31E+09
12/31/2007,6036146757,3796945581,9833092338,2007,0.632,207.342,3.00E+09
12/31/2006,9822640239,3844020520,13666660759,2006,0.632,201.6,4.28E+09
12/31/2005,28432143237,6282121668,34714264905,2005,0.632,195.3,1.12E+10
12/31/2004,55373766674,6766029353,62139796027,2004,0.577,188.9,1.90E+10
12/31/2003,65032062712,6880893268,71912955980,2003,0.577,184.0,2.26E+10
12/31/2002,63601058794,6868671012,70469729806,2002,0.577,179.9,2.26E+10
12/31/2001,53477225409,6424578684,59901804093,2001,0.577,177.1,1.95E+10
12/31/2000,42990531049,6331595468,49322126517,2000,0.577,172.2,1.65E+10
12/31/1999,51061861875,6434274362,57496136237,1999,0.5821,166.6,2.01E+10
12/31/1998,60451017051,6288825925,66739842976,1998,0.5821,163.0,2.38E+10
12/31/1997,46559033783,6009867422,52568901205,1997,0.582,160.5,1.91E+10
12/31/1996,36127472805,5881609752,42009082557,1996,0.582,156.9,1.56E+10
12/31/1995,35929173412,5657438528,41586611940,1995,0.582,152.4,1.59E+10
12/31/1994,25611676952,4599768498,30211445450,1994,0.572,148.2,1.17E+10
12/31/1993,25196745031,3942792899,29139537930,1993,0.572,144.5,1.15E+10
12/31/1992,23967172718,3804463796,27771636514,1992,0.572,140.3,1.13E+10
12/31/1991,23378573926,3285717796,26664291722,1991,0.572,136.2,1.12E+10
12/31/1990,20731851093,2571911617,23303762710,1990,0.572,130.7,1.02E+10
12/31/1989,22315104224,2334886562,24649990786,1989,0.452,124.0,8.99E+09
12/31/1988,24750004884,1773964293,26523969177,1988,0.452,118.3,1.01E+10
12/31/1987,28751979125,1866342930,30618322055,1987,0.452,113.6,1.22E+10
12/31/1986,33334905644,2013169931,35348075575,1986,0.452,109.6,1.46E+10
12/31/1985,35194787249,2470247948,37665035197,1985,0.452,107.6,1.58E+10
12/31/1984,34936772393,2769874900,37706647293,1984,0.54,103.9,1.96E+10
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,
