,Name,Sport,Length of contract,Contract value (USD),Average per year (USD),Average per game/event[a] (USD)
0,Lionel Messi,Association football,4 years (2017–2021),674000000,168500000,4434210
1,Cristiano Ronaldo,Association football,2.5 years (2023–2025)[c],536336818,214534727,7151158
2,Patrick Mahomes[e]‡,American football,10 years (2020–2031),503000000,41916667,2465686
3,Mike Trout,Baseball,12 years (2019–2030),426500000,35541667,219393
4,Canelo Álvarez,Boxing,5 years (2018–2023),365000000,73000000,33181818
5,Mookie Betts,Baseball,12 years (2021–2032),365000000,30416667,187757
6,Aaron Judge,Baseball,9 years (2023–2031),360000000,40000000,246913
7,Francisco Lindor,Baseball,10 years (2022–2031),341000000,34100000,210494
8,Fernando Tatís Jr.,Baseball,14 years (2021–2034),340000000,24285714,149912
9,Bryce Harper,Baseball,13 years (2019–2031),330000000,25384615,156695
10,Giancarlo Stanton,Baseball,13 years (2015–2027),325000000,25000000,154320
11,Corey Seager,Baseball,10 years (2022–2031),325000000,32500000,200617
12,Gerrit Cole,Baseball,9 years (2020–2028),324000000,36000000,222222
13,Manny Machado,Baseball,10 years (2019–2028),300000000,30000000,185185
14,Trea Turner,Baseball,11 years (2023–2033),300000000,27272727,168350
15,Xander Bogaerts,Baseball,11 years (2023–2033),280000000,25454545,157127
16,Alex Rodriguez[g]R,Baseball,10 years (2008–2017),275000000,27500000,169753
17,Max Verstappen,Auto racing,5 years (2023–2028),275000000,53300000,2422727
18,Nikola Jokić,Basketball,5 years (2023–2028),264000000,52800000,643902
19,Nolan Arenado,Baseball,8 years (2019–2026),260000000,32500000,200617
20,Josh Allen‡,American football,6 years (2021–2028),258000000,43000000,2529412
21,Alex Rodriguez[h]R,Baseball,10 years (2001–2010),252000000,25200000,155555
22,Bradley Beal,Basketball,5 years (2022–2027),251000000,50200000,612195
23,Miguel Cabrera,Baseball,8 years (2016–2023),248000000,31000000,191358
24,Anthony Rendon,Baseball,7 years (2020–2026),245000000,35000000,216049
25,Stephen Strasburg,Baseball,7 years (2020–2026),245000000,35000000,216049
26,Russell Wilson‡,American football,5 years (2022–2026),242588236,48517647,2853979
27,Albert PujolsR,Baseball,10 years (2012–2021),240000000,24000000,148148
28,Robinson Canó,Baseball,10 years (2014–2023),240000000,24000000,148148
29,Kyler Murray‡,American football,5 years (2022–2026),230500000,46100000,2711765
30,Deshaun Watson,American football,5 years (2022–2026),230000000,46000000,2705882
31,Giannis Antetokounmpo,Basketball,5 years (2021–2026),228200830,45640166,556587
32,James Harden,Basketball,6 years (2017–2023),228000000,38000000,463414
33,Joey Votto,Baseball,10 years (2014–2023),225000000,22500000,138888
34,Karl-Anthony Towns,Basketball,4 years (2024–2028),224000000,56000000,682927
35,Devin Booker,Basketball,4 years (2024–2028),224000000,56000000,682927
36,David Price,Baseball,7 years (2016–2022),217000000,31000000,191358
37,Stephen Curry,Basketball,4 years (2022–2026),215353664,53838416,656566
38,Zach LaVine,Basketball,5 years (2022–2027),215200000,53800000,656098
39,Trae Young,Basketball,5 years (2022–2027),215159700,43031940,524778
40,Clayton Kershaw,Baseball,7 years (2014–2020),215000000,30714286,189594
41,Christian Yelich,Baseball,9 years (2020–2028),215000000,23888889,147462
42,Prince FielderR,Baseball,9 years (2012–2020),214000000,23777778,146776
43,Max Scherzer,Baseball,7 years (2015–2021),210000000,30000000,185185
44,Julio Rodríguez,Baseball,13 years (2022–2034),209300000,17441667,107665
45,Luka Dončić,Basketball,5 years (2022–2027),207060000,41412000,505024
46,Russell Westbrook,Basketball,5 years (2018–2023),206794070,41358814,504375
47,Zack Greinke,Baseball,6 years (2016–2021),206500000,34416667,212448
48,Rudy Gobert,Basketball,5 years (2021–2026),205000000,41000000,500000
49,Stephen Curry,Basketball,5 years (2017–2022),201158790,40231758,490631
50,Kevin Durant,Basketball,4 years (2022–2026),197656906,49414227,602613
51,Klay Thompson,Basketball,5 years (2019–2024),189903600,37980720,463179
52,Derek JeterR,Baseball,10 years (2001–2010),189000000,18900000,116666
53,Jimmy Butler,Basketball,4 years (2022–2026),186592000,46648000,568878
54,Jacob deGrom,Baseball,5 years (2023–2027),185000000,37000000,228395
55,Joe MauerR,Baseball,8 years (2011–2018),184000000,23000000,141975
56,Jason Heyward,Baseball,8 years (2016–2023),184000000,23000000,141975
57,Kris Bryant,Baseball,7 years (2022–2028),182000000,26000000,160493
58,Wander Franco,Baseball,11 years (2022–2032),182000000,16545455,102132
59,Mark TeixeiraR,Baseball,8 years (2009–2016),180000000,22500000,138888
60,Justin Verlander,Baseball,7 years (2013–2019),180000000,25714286,158730
61,Tobias Harris,Basketball,5 years (2019–2024),180000000,36000000,429024
62,Khris Middleton,Basketball,5 years (2019–2024),177500000,35500000,432926
63,Deshaun Watson,American football,6 years (2020–2025)[j],177500000,29583333,1740196
64,Ben Simmons,Basketball,5 years (2020–2025),177243360,35448672,432301
65,Dansby Swanson,Baseball,7 years (2023–2029),177000000,25285714,156085
66,Paul George,Basketball,4 years (2021–2025),176265468,44066367,544029
67,Kawhi Leonard,Basketball,4 years (2021–2025),176265152,44066288,544028
68,Damian Lillard,Basketball,4 years (2021–2025),176265152,44066288,544028
69,Félix Hernández,Baseball,7 years (2013–2019),175000000,25000000,154320
70,Stephen Strasburg,Baseball,7 years (2017–2023),175000000,25000000,154320
71,Marcus Semien,Baseball,7 years (2022–2028),175000000,25000000,154320
72,Shai Gilgeous-Alexander,Basketball,5 years (2022–2027),172550000,34510000,420854
73,Blake Griffin,Basketball,5 years (2017–2022),171174820,34234964,417499
74,John Wall,Basketball,4 years (2019–2023),171174820,42793708,521874
75,Matt Olson,Baseball,8 years (2022–2029),168000000,21000000,129630
76,Buster PoseyR,Baseball,9 years (2013–2021),167000000,18555556,114540
77,Kevin Durant,Basketball,4 years (2019–2023)[n],164255700,41063925,500799
78,José Altuve,Baseball,7 years (2018–2024),163500000,23357143,144179
79,Bam Adebayo,Basketball,5 years (2021–2026),163000590,32600118,397562
80,De'Aaron Fox,Basketball,5 years (2021–2026),163000590,32600118,397562
81,Donovan Mitchell,Basketball,5 years (2021–2026),163000590,32600118,397562
82,Jayson Tatum,Basketball,5 years (2021–2026),163000590,32600118,397562
83,Freddie Freeman,Baseball,6 years (2022–2027),162000000,27000000,166667
84,Brandon Nimmo,Baseball,8 years (2023–2030),162000000,20250000,125000
85,CC SabathiaR,Baseball,7 years (2009–2015),161000000,23000000,141975
86,Chris DavisR,Baseball,7 years (2016–2022),161000000,23000000,141975
87,Manny RamírezR,Baseball,8 years (2001–2008),160000000,20000000,123456
88,Matt KempR,Baseball,8 years (2012–2019),160000000,20000000,123456
89,Dak Prescott‡,American football,4 years (2021–2024)[o],160000000,40000000,2352941
90,Matthew Stafford‡,American football,4 years (2022–2026),160000000,40000000,2352941
91,Chris Paul,Basketball,4 years (2018–2022),159730592,39932648,486983
92,Devin Booker,Basketball,5 years (2018–2023),158253000,31650600,385982
93,Kristaps Porziņģis,Basketball,5 years (2019–2024),158253000,31650600,385982
94,Karl-Anthony Towns,Basketball,5 years (2019–2024),158253000,31650600,385982
95,Brandon Ingram,Basketball,5 years (2020–2025),158253000,31650600,385982
96,Jamal Murray,Basketball,5 years (2020–2025),158253000,31650600,385982
97,Troy TulowitzkiR,Baseball,10 years (2011–2020),157750000,15775000,97376
