,index,Variable,Correlation,Definition
0,MP,MP,1.0,Minutes Played
1,MP,FG,0.8873749273606099,Minutes Played
2,MP,FGA,0.8918888516796786,Minutes Played
3,MP,2P,0.792685689775632,Minutes Played
4,MP,2PA,0.812582537933988,Minutes Played
5,MP,FT,0.7257770836738433,Minutes Played
6,MP,FTA,0.7250950439583371,Minutes Played
7,MP,DRB,0.763920163113339,Minutes Played
8,MP,AST,0.7380148380952187,Minutes Played
9,MP,TOV,0.8034254172013412,Minutes Played
10,MP,PTS,0.8824204804825875,Minutes Played
11,MP,WS,0.7454588129741369,Minutes Played
12,MP,VORP,0.5927812825001622,Minutes Played
13,MP,Pay,0.6595651890427326,Minutes Played
14,FG,MP,0.8873749273606099,Field Goals
15,FG,FG,1.0,Field Goals
16,FG,FGA,0.9785888291076347,Field Goals
17,FG,2P,0.945804451114506,Field Goals
18,FG,2PA,0.9556833111130291,Field Goals
19,FG,FT,0.8770286954750126,Field Goals
20,FG,FTA,0.8748006924222619,Field Goals
21,FG,DRB,0.7606398273030641,Field Goals
22,FG,AST,0.7417310641739865,Field Goals
23,FG,TOV,0.8689458098378543,Field Goals
24,FG,PTS,0.9920162439636178,Field Goals
25,FG,WS,0.7652957674880078,Field Goals
26,FG,VORP,0.7374347236383973,Field Goals
27,FG,Pay,0.745025016977407,Field Goals
28,FGA,MP,0.8918888516796786,Field Goal Attempts
29,FGA,FG,0.9785888291076347,Field Goal Attempts
30,FGA,FGA,1.0,Field Goal Attempts
31,FGA,2P,0.8798446692942835,Field Goal Attempts
32,FGA,2PA,0.9207513318395716,Field Goal Attempts
33,FGA,FT,0.8538517732606588,Field Goal Attempts
34,FGA,FTA,0.8418494222496907,Field Goal Attempts
35,FGA,DRB,0.6870874014882232,Field Goal Attempts
36,FGA,AST,0.7669131982440844,Field Goal Attempts
37,FGA,TOV,0.8682681151878896,Field Goal Attempts
38,FGA,PTS,0.9829541109510542,Field Goal Attempts
39,FGA,WS,0.6797316948692984,Field Goal Attempts
40,FGA,VORP,0.6641238583658896,Field Goal Attempts
41,FGA,Pay,0.726536997805758,Field Goal Attempts
42,2P,MP,0.792685689775632,2-Point Field Goals
43,2P,FG,0.945804451114506,2-Point Field Goals
44,2P,FGA,0.8798446692942835,2-Point Field Goals
45,2P,2P,1.0,2-Point Field Goals
46,2P,2PA,0.9845834904946612,2-Point Field Goals
47,2P,FT,0.8664196073211929,2-Point Field Goals
48,2P,FTA,0.8855677949587957,2-Point Field Goals
49,2P,DRB,0.7927842062435171,2-Point Field Goals
50,2P,AST,0.6720187903237126,2-Point Field Goals
51,2P,TOV,0.8327247095750951,2-Point Field Goals
52,2P,PTS,0.9163487414080097,2-Point Field Goals
53,2P,WS,0.7612839860249171,2-Point Field Goals
54,2P,VORP,0.7276242012414329,2-Point Field Goals
55,2P,Pay,0.690684015682274,2-Point Field Goals
56,2PA,MP,0.812582537933988,2-Point Field Goal Attempts
57,2PA,FG,0.9556833111130291,2-Point Field Goal Attempts
58,2PA,FGA,0.9207513318395716,2-Point Field Goal Attempts
59,2PA,2P,0.9845834904946612,2-Point Field Goal Attempts
