,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
0,Precious Achiuwa,2840160,TOR,C,20.7,3.6,7.3,3.0,5.4,1.6,2.3,1.1,9.2,2.2,-0.1
1,Steven Adams,17926829,MEM,C,27.0,3.7,6.3,3.7,6.2,1.1,3.1,1.9,8.6,3.4,0.7
2,Bam Adebayo,30351780,MIA,C,34.6,8.0,14.9,8.0,14.7,4.3,5.4,2.5,20.4,7.4,2.3
3,Ochai Agbaji,3918360,UTA,SG,20.5,2.8,6.5,1.4,2.7,0.9,1.2,0.7,7.9,1.3,-0.3
4,Santi Aldama,2094120,MEM,PF,21.8,3.2,6.8,2.0,3.4,1.4,1.9,0.8,9.0,4.6,1.1
5,Nickeil Alexander-Walker,5009633,TOT,SG,15.0,2.2,5.0,1.2,2.3,0.7,1.0,0.9,6.2,1.1,0.2
6,Grayson Allen,8500000,MIL,SG,27.4,3.4,7.7,1.4,2.7,1.6,1.8,1.0,10.4,5.1,1.0
7,Jarrett Allen,20000000,CLE,C,32.6,5.9,9.2,5.9,9.1,2.4,3.3,1.4,14.3,9.5,2.4
8,Jose Alvarado,1563518,NOP,PG,21.5,3.3,8.0,1.9,4.0,1.1,1.3,1.3,9.0,1.8,0.3
9,Kyle Anderson,8780488,MIN,PF,28.4,3.7,7.2,3.0,5.7,1.4,2.0,1.5,9.4,5.1,2.2
10,Giannis Antetokounmpo,42492492,MIL,PF,32.1,11.2,20.3,10.5,17.6,7.9,12.3,3.9,31.1,8.6,5.4
11,Thanasis Antetokounmpo,1878720,MIL,SF,5.6,0.5,1.2,0.5,1.0,0.3,0.6,0.3,1.4,0.1,-0.3
12,Cole Anthony,3613680,ORL,PG,25.9,4.6,10.2,3.4,6.7,2.5,2.8,1.5,13.0,3.7,1.3
13,OG Anunoby,17357143,TOR,SF,35.6,6.3,13.2,4.2,7.7,2.1,2.5,2.0,16.8,4.7,1.5
14,Ryan Arcidiacono,1836090,TOT,PG,8.6,0.5,1.9,0.1,0.7,0.0,0.0,0.4,1.3,-0.2,-0.3
15,Deni Avdija,4916160,WAS,SF,26.6,3.3,7.6,2.4,4.6,1.6,2.2,1.6,9.2,2.3,-0.1
16,Deandre Ayton,30913750,PHO,C,30.4,7.8,13.2,7.7,12.9,2.3,3.0,1.8,18.0,6.2,1.5
17,Udoka Azubuike,2174880,UTA,C,10.0,1.6,2.0,1.6,2.0,0.2,0.6,0.5,3.5,1.0,0.1
18,Marvin Bagley III,12500000,DET,C,23.6,4.8,9.1,4.4,7.5,1.9,2.6,1.1,12.0,2.0,0.3
19,Patrick Baldwin Jr,2226000,GSW,SF,7.3,1.4,3.5,0.4,0.8,0.1,0.2,0.4,3.9,0.1,0.0
20,LaMelo Ball,8623920,CHO,PG,35.2,8.2,20.0,4.2,9.4,2.8,3.4,3.6,23.3,1.8,1.4
21,Mo Bamba,10300000,TOT,C,15.7,2.4,4.9,1.4,2.4,0.8,1.3,0.6,6.6,2.2,0.5
22,Paolo Banchero,11055120,ORL,PF,33.8,6.7,15.6,5.5,11.6,5.5,7.4,2.8,20.0,2.4,0.3
23,Dalano Banton,1563518,TOR,PG,9.0,1.8,4.2,1.3,2.5,0.5,0.8,0.6,4.6,0.4,0.1
24,Dominick Barlow,508891,SAS,SF,14.6,1.6,3.1,1.6,2.9,0.6,0.9,0.5,3.9,0.7,-0.3
25,Harrison Barnes,18352273,SAC,PF,32.5,4.6,9.6,3.0,5.3,4.3,5.0,1.0,15.0,6.5,0.7
26,Scottie Barnes,7644600,TOR,PF,34.8,6.0,13.2,5.2,10.3,2.5,3.2,2.0,15.3,5.0,1.6
27,RJ Barrett,10900634,NYK,SG,33.9,7.0,16.1,5.3,10.8,4.0,5.4,2.2,19.6,2.2,-0.7
28,Will Barton,15059712,TOT,SG,17.7,2.5,6.5,1.3,3.3,0.7,0.8,0.9,6.8,0.4,-0.2
29,Charles Bassey,2674742,SAS,C,14.5,2.5,3.9,2.4,3.6,0.6,1.1,1.2,5.7,1.3,0.3
30,Keita Bates-Diop,1878720,SAS,SF,21.7,3.5,6.9,2.7,4.8,1.8,2.2,0.8,9.7,2.7,0.5
31,Nicolas Batum,19700319,LAC,PF,21.9,2.1,4.9,0.5,0.8,0.4,0.6,0.6,6.1,3.6,1.0
32,Darius Bazley,4264628,TOT,PF,14.3,1.9,4.3,1.5,3.0,0.9,1.6,0.6,5.2,1.0,0.2
