,Player,Pos,Age,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2022/23,2023/24,2024/25,2025/26,2026/27,2027/28
0,Precious Achiuwa,C,23,TOR,17.8,2.6,6.8,.376,0.3,2.1,.147,2.3,4.7,.480,.399,1.8,2.2,.829,1.6,4.0,5.6,1.2,0.2,0.7,1.0,1.3,7.3,12.8,.466,.312,.321,9.2,27.4,17.7,9.7,0.5,3.9,11.4,21.1,-0.1,0.3,0.2,.037,-2.8,-1.3,-4.1,-0.1,2840160,4379526,6275861,0,0,0
1,Steven Adams,C,29,MEM,26.8,3.5,6.2,.574,0.0,0.0,.000,3.5,6.1,.577,.574,0.9,2.7,.333,5.0,6.2,11.2,2.2,0.9,1.2,1.9,2.4,8.0,16.6,.542,.005,.444,19.6,23.8,21.7,10.5,1.5,3.9,20.6,14.1,0.8,1.8,2.5,.130,-0.7,0.9,0.2,0.5,17926829,12600000,12600000,0,0,0
2,Bam Adebayo,C,25,MIA,35.2,8.5,15.8,.538,0.0,0.3,.100,8.5,15.5,.546,.539,4.4,5.4,.806,2.8,7.1,9.9,3.1,1.1,0.8,2.9,3.0,21.4,20.3,.589,.017,.344,8.8,24.5,16.3,15.7,1.5,2.3,13.6,26.4,1.7,2.0,3.6,.133,0.4,0.5,0.9,1.0,30351780,32600060,34848340,37096620,0,0
3,Ochai Agbaji,SG,22,UTA,9.7,1.4,2.9,.483,0.6,1.7,.364,0.8,1.3,.640,.586,0.3,0.5,.500,0.4,0.7,1.1,0.2,0.1,0.0,0.1,1.0,3.7,9.4,.585,.569,.172,4.5,8.1,6.3,2.8,0.2,0.0,3.1,13.9,0.2,0.0,0.3,.068,-1.7,-2.6,-4.3,-0.1,3918360,4114200,4310280,6383525,8879483,0
4,Santi Aldama,PF,22,MEM,22.8,3.3,7.1,.469,1.3,3.5,.362,2.1,3.6,.574,.559,1.4,1.9,.725,1.3,3.8,5.1,1.3,0.7,0.9,0.6,2.3,9.3,14.9,.587,.496,.270,5.8,17.2,11.6,7.8,1.4,3.4,7.1,15.4,1.4,1.3,2.7,.156,0.2,1.5,1.7,0.8,2094120,2194200,3960531,5940797,0,0
5,Nickeil Alexander-Walker,SG,24,UTA,15.5,2.5,5.1,.490,1.1,2.6,.419,1.4,2.5,.565,.598,0.8,1.1,.710,0.3,1.3,1.6,2.3,0.7,0.4,1.3,1.7,6.9,13.8,.616,.517,.217,2.0,9.3,5.6,20.7,2.1,2.1,18.7,18.7,0.4,0.4,0.8,.086,0.0,0.6,0.6,0.3,5009633,7073602,0,0,0,0
6,Grayson Allen,SG,27,MIL,27.4,3.3,7.7,.430,1.8,4.7,.382,1.5,3.0,.505,.547,1.9,2.1,.905,1.0,2.6,3.6,2.6,0.7,0.2,1.1,1.4,10.3,12.7,.598,.614,.267,3.8,9.8,6.9,13.4,1.3,0.6,11.4,14.8,1.5,1.1,2.6,.125,-0.2,0.5,0.3,0.6,8500000,8500000,0,0,0,0
7,Jarrett Allen,C,24,CLE,33.6,5.4,8.8,.619,0.0,0.2,.000,5.4,8.6,.631,.619,2.7,3.9,.702,3.1,7.0,10.1,1.5,0.8,1.2,1.4,2.1,13.6,18.7,.648,.020,.438,11.1,24.2,17.8,6.8,1.2,3.4,12.1,15.9,2.5,2.0,4.5,.190,0.7,1.1,1.8,1.1,20000000,20000000,20000000,20000000,0,0
8,Jose Alvarado,PG,24,NOP,20.9,3.3,8.0,.415,1.4,4.2,.333,1.9,3.8,.507,.503,1.1,1.4,.768,0.5,2.0,2.4,3.1,1.2,0.1,1.4,2.0,9.2,13.0,.530,.527,.179,2.5,10.6,6.5,20.6,2.8,0.5,13.6,20.1,0.3,1.1,1.4,.085,-1.7,1.0,-0.6,0.3,1563518,1836096,1988598,0,0,0
9,Kyle Anderson,PF,29,MIN,25.5,2.8,5.8,.483,0.5,1.3,.415,2.3,4.5,.504,.531,1.7,2.1,.815,0.6,3.7,4.3,3.7,1.2,0.7,1.4,2.1,7.9,13.4,.585,.228,.361,2.6,15.4,9.3,19.0,2.2,2.7,17.4,13.6,0.8,1.0,1.8,.108,-0.7,1.9,1.2,0.6,8780488,9219512,0,0,0,0
10,Giannis Antetokounmpo,PF,28,MIL,33.6,11.3,21.3,.530,0.7,3.0,.242,10.6,18.3,.577,.547,8.7,13.2,.654,2.2,9.6,11.8,5.2,0.8,0.9,4.1,3.5,32.0,27.8,.589,.141,.621,7.1,29.1,18.3,30.7,1.2,2.2,13.1,38.9,2.3,2.0,4.3,.186,5.2,2.3,7.5,2.7,42492492,45640084,48787676,51935268,0,0
11,Thanasis Antetokounmpo,SF,30,MIL,4.4,0.2,0.7,.214,0.0,0.2,.000,0.2,0.5,.300,.214,0.2,0.3,.500,0.3,0.6,0.9,0.2,0.1,0.2,0.4,0.4,0.5,0.9,.270,.286,.429,7.7,14.8,11.3,4.5,1.2,3.0,29.6,11.9,-0.3,0.1,-0.1,-0.083,-9.4,-0.7,-10.0,-0.2,1878720,0,0,0,0,0
12,Cole Anthony,PG,22,ORL,26.4,4.3,10.0,.429,1.2,3.8,.321,3.0,6.1,.496,.491,2.5,2.8,.903,0.5,4.0,4.5,4.4,0.8,0.4,1.7,3.0,12.3,14.7,.550,.384,.283,2.4,17.0,9.7,25.1,1.4,1.3,13.1,21.1,0.6,0.5,1.2,.096,-0.5,0.4,-0.1,0.3,3613680,5539771,7744600,0,0,0
13,OG Anunoby,SF,25,TOR,37.1,6.8,14.6,.465,1.8,5.2,.349,5.0,9.4,.528,.527,2.8,3.4,.836,1.6,4.4,6.0,2.1,2.3,0.8,2.3,3.1,18.2,15.4,.566,.354,.232,4.4,14.5,9.1,8.6,3.0,2.2,12.7,21.2,0.7,1.7,2.4,.086,-0.5,0.8,0.4,0.8,17357143,18642857,19928571,0,0,0
