Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,Op_TOV%,DRB%,FT/FGA4,Attend.,Attend./G,Payroll_Over_Avg,Playoff_W
Atlanta Hawks,2022,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9,26.1,43,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,672742,16408,1.044972982,1
Boston Celtics,2022,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,26.1,51,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,0.542,12.4,24,0.195,0.502,12.5,77.3,0.183,785396,19156,1.235269336,14
Brooklyn Nets,2022,240.9,42,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.538,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,29.1,44,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,711539,17355,1.275167482,0
Charlotte Hornets,2022,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,25.5,43,0.44,0.09,0.53,114.1,113.7,0.4,100,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,700755,17092,0.793724174,0
Chicago Bulls,2022,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,26.3,46,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,856148,20882,1.045514772,1
Cleveland Cavaliers,2022,240.6,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,107.8,24.7,44,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0.538,13.2,24,0.198,0.52,12.3,76.5,0.172,758228,18493,1.040155622,0
Dallas Mavericks,2022,240.9,39.3,85.1,0.461,13.1,37.4,0.35,26.2,47.8,0.548,16.4,21.2,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108,26.7,52,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78,0.185,808037,19708,1.148091488,9
Denver Nuggets,2022,241.5,41.7,86.3,0.483,12.7,35.9,0.353,29,50.4,0.575,16.7,21,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7,27.7,48,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,695262,16958,1.131720435,1
Detroit Pistons,2022,241.2,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54,0.498,17.2,22,0.782,11,32,43,23.5,7.7,4.8,14.2,21.9,104.8,23.6,23,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,663556,16184,0.719380692,0
Golden State Warriors,2022,240.6,40.5,86.4,0.469,14.3,39.4,0.364,26.2,47,0.557,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111,27.6,53,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13,78.7,0.201,740624,18064,1.333619317,16
Houston Rockets,2022,240.9,39.4,86.4,0.456,13.5,38.7,0.349,25.9,47.7,0.543,17.5,24.5,0.713,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,109.7,24.1,20,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,638977,15585,0.518799249,0
Indiana Pacers,2022,242.4,41.4,89.5,0.463,12.2,35.4,0.344,29.3,54.1,0.541,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,26,25,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,588743,14360,0.661658338,0
Los Angeles Clippers,2022,241.2,40.1,87.4,0.458,12.8,34.2,0.374,27.3,53.3,0.512,15.5,19.6,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4,27.5,42,0.02,0.06,0.09,110.1,110.1,0,98,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12,74.4,0.167,694005,16927,1.350923863,0
Los Angeles Lakers,2022,243.7,41.6,88.8,0.469,12,34.5,0.347,29.7,54.3,0.546,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1,30.2,33,-3.05,-0.03,-3.08,110.3,113.3,-3,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,764631,18650,1.199071605,0
Memphis Grizzlies,2022,241.2,43.5,94.4,0.461,11.5,32.7,0.353,32,61.7,0.519,17,23.1,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6,24,56,5.68,-0.32,5.37,114.6,109,5.6,100.3,0.245,0.346,0.553,0.522,11.2,30,0.18,0.523,13.3,77.8,0.195,646785,15775,0.84081696,6
Miami Heat,2022,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26,49,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110,28.2,53,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78,0.209,804761,19628,1.056244368,11
Milwaukee Bucks,2022,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5,28.5,51,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,0.546,11.9,23,0.199,0.536,11.6,78.6,0.165,715581,17453,1.243574836,7
Minnesota Timberwolves,2022,241.2,41.6,91,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,24.2,46,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,657148,16028,1.036017732,2
