,Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,TOV%,DRB%,FT/FGA,Attend.,Attend./G,Playoff_W,Payroll
0,Boston Celtics,2023,242.5,42.2,88.1,0.479,15.6,41.8,0.373,26.6,46.4,0.574,18.9,22.9,0.823,9.3,34.6,43.9,26.8,6.6,5.4,13.7,19.1,118.8,27.4,28.0,5.83,-0.32,5.5,118.0,112.2,5.8,99.6,0.26,0.474,0.605,0.567,12.2,21.2,0.214,0.534,12.0,77.5,0.182,363964,18198,0,178639335
1,Sacramento Kings,2023,240.7,42.7,87.4,0.489,13.1,36.7,0.358,29.6,50.8,0.584,19.8,25.1,0.788,8.8,32.9,41.8,26.6,7.0,3.2,14.7,20.9,118.3,25.4,20.0,1.08,-0.05,1.03,116.3,115.2,1.1,101.5,0.287,0.419,0.601,0.564,13.0,21.2,0.226,0.554,12.8,77.5,0.223,340288,17014,0,134813254
2,Utah Jazz,2023,241.8,42.3,89.7,0.472,14.6,40.2,0.365,27.7,49.5,0.558,18.3,23.2,0.787,11.6,31.8,43.5,26.2,7.1,4.6,15.1,21.2,117.5,27.0,20.0,0.79,-0.14,0.65,116.6,115.8,0.8,100.1,0.259,0.448,0.588,0.553,13.1,26.3,0.204,0.545,12.6,73.8,0.217,345914,18206,0,144337887
3,New Orleans Pelicans,2023,243.8,42.6,89.1,0.478,11.3,31.0,0.364,31.3,58.2,0.539,20.6,26.3,0.783,11.9,33.7,45.6,26.1,8.7,4.4,15.4,20.6,117.1,25.7,24.0,4.0,-0.09,3.91,115.2,111.2,4.0,100.1,0.295,0.347,0.581,0.541,13.2,27.1,0.231,0.54,13.9,77.3,0.203,346590,15754,0,147711891
4,Los Angeles Lakers,2023,241.9,43.2,88.6,0.487,10.5,30.6,0.342,32.7,58.1,0.563,20.1,25.3,0.796,9.3,35.7,45.0,25.1,6.5,4.8,15.0,18.7,116.9,28.6,19.0,-0.88,-0.44,-1.31,113.4,114.3,-0.9,102.2,0.285,0.345,0.586,0.546,13.0,21.6,0.227,0.539,11.0,76.2,0.176,333081,18505,0,171178121
5,Golden State Warriors,2023,241.9,42.4,89.9,0.472,16.1,43.3,0.372,26.3,46.6,0.564,15.9,19.9,0.796,10.0,33.9,43.9,29.3,6.7,3.9,16.8,21.9,116.8,27.0,20.0,-0.78,-0.21,-0.99,113.3,114.1,-0.8,102.2,0.221,0.481,0.592,0.561,14.5,22.9,0.176,0.54,12.8,76.1,0.224,379344,18064,0,193374102
6,Denver Nuggets,2023,241.3,43.7,85.9,0.509,12.1,30.3,0.401,31.6,55.6,0.568,17.1,22.8,0.751,10.1,33.1,43.2,28.7,7.1,4.3,15.2,19.4,116.7,26.6,26.0,2.92,-0.37,2.55,117.9,114.9,3.0,98.5,0.265,0.352,0.608,0.579,13.7,24.8,0.199,0.553,12.2,77.8,0.207,363673,19141,0,162893770
7,Oklahoma City Thunder,2023,243.8,43.0,93.0,0.463,12.1,33.9,0.356,31.0,59.1,0.524,18.3,23.1,0.791,11.5,32.7,44.2,24.2,8.2,5.1,14.2,21.8,116.4,22.9,17.0,-0.51,0.23,-0.28,112.8,113.3,-0.5,101.6,0.248,0.364,0.564,0.527,12.1,24.4,0.197,0.539,14.3,72.5,0.218,317765,15132,0,143405726
8,Memphis Grizzlies,2023,241.3,43.3,92.4,0.469,11.3,33.2,0.341,32.0,59.2,0.541,18.1,25.3,0.715,13.2,36.1,49.3,25.2,7.7,6.0,14.5,20.0,116.1,24.6,25.0,4.95,-0.03,4.92,114.3,109.4,4.9,101.0,0.273,0.359,0.56,0.53,12.3,29.1,0.195,0.515,12.6,76.3,0.205,310423,17246,0,122391141
9,Indiana Pacers,2023,240.6,41.3,89.2,0.463,14.4,38.9,0.371,26.9,50.4,0.535,18.6,23.2,0.8,9.7,32.3,42.0,26.9,7.8,5.9,15.2,21.6,115.6,24.2,22.0,-0.08,0.15,0.08,114.2,114.3,-0.1,101.0,0.26,0.436,0.582,0.544,13.2,22.5,0.208,0.536,13.5,72.5,0.234,312724,14892,0,97936376
10,Atlanta Hawks,2023,243.2,43.5,92.9,0.468,10.3,31.1,0.332,33.2,61.8,0.537,18.1,22.1,0.819,10.7,33.5,44.2,24.1,7.1,4.9,12.9,19.4,115.3,24.9,18.0,-1.28,-0.29,-1.57,112.5,113.7,-1.2,101.2,0.237,0.335,0.562,0.524,11.2,23.0,0.194,0.539,13.2,75.5,0.218,330378,17388,0,150757543
11,Chicago Bulls,2023,243.1,42.7,87.3,0.49,10.8,28.7,0.377,31.9,58.6,0.545,18.8,23.0,0.817,8.6,33.8,42.4,24.5,7.5,4.8,13.9,19.9,115.1,27.8,19.0,-0.43,0.86,0.43,113.9,114.3,-0.4,99.8,0.264,0.328,0.591,0.552,12.5,20.2,0.215,0.555,13.3,77.9,0.202,404821,20241,0,150644803
12,Minnesota Timberwolves,2023,240.6,42.5,86.4,0.492,11.1,32.4,0.343,31.4,54.0,0.581,18.9,24.4,0.775,9.2,32.8,42.0,25.5,8.1,5.4,15.9,22.1,115.0,25.4,19.0,-0.55,-0.27,-0.82,113.1,113.7,-0.6,101.3,0.282,0.375,0.592,0.556,14.1,21.9,0.219,0.536,13.3,72.9,0.216,343211,16343,0,149676773
13,Brooklyn Nets,2023,240.6,43.1,84.2,0.512,12.2,31.0,0.393,30.9,53.1,0.582,16.6,20.6,0.802,7.5,33.0,40.5,26.5,7.1,6.9,14.5,21.7,114.9,28.8,26.0,4.05,-0.02,4.03,116.1,112.0,4.1,98.7,0.245,0.369,0.616,0.584,13.4,19.0,0.197,0.521,12.7,74.5,0.216,315973,17554,0,187611872
14,New York Knicks,2023,243.1,41.3,90.2,0.457,12.0,35.1,0.341,29.3,55.1,0.532,19.7,25.5,0.773,12.9,34.3,47.2,23.1,6.6,4.3,13.6,21.0,114.2,24.7,22.0,2.88,-0.31,2.56,115.1,112.2,2.9,97.9,0.283,0.389,0.563,0.524,11.8,28.2,0.218,0.524,12.0,75.7,0.209,386381,19319,0,144157479
15,Phoenix Suns,2023,241.9,41.9,90.0,0.466,12.9,34.0,0.38,29.0,56.0,0.518,16.4,20.7,0.792,11.9,31.2,43.0,26.6,7.1,5.1,13.7,21.3,113.1,27.9,20.0,2.13,0.11,2.24,115.4,113.2,2.2,97.3,0.23,0.378,0.571,0.537,12.2,26.8,0.182,0.534,13.7,74.6,0.245,341420,17071,0,168769404
16,Philadelphia 76ers,2023,243.3,40.2,84.4,0.476,12.8,33.4,0.383,27.4,50.9,0.537,19.4,23.7,0.818,8.4,32.0,40.4,24.6,8.2,4.9,14.1,20.5,112.6,28.5,23.0,3.39,-0.29,3.11,114.2,110.8,3.4,97.2,0.281,0.396,0.594,0.552,12.9,20.2,0.23,0.531,14.1,75.7,0.215,444102,20186,0,152458779
17,Dallas Mavericks,2023,243.1,39.2,83.4,0.47,14.7,41.0,0.358,24.6,42.4,0.579,19.4,26.1,0.744,7.8,31.2,39.0,21.9,7.0,4.1,12.4,21.1,112.5,28.0,23.0,1.73,0.21,1.93,115.6,113.9,1.7,96.0,0.312,0.491,0.593,0.558,11.6,18.7,0.232,0.544,13.0,76.0,0.224,443639,20165,0,168733618
