,Player,Pos,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2022/23,2023/24,2024/25,2025/26,2026/27,2027/28
0,Precious Achiuwa,C,23,20.4,3.0,7.7,.391,0.4,2.3,.179,2.6,5.3,.484,.418,2.3,2.8,.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8,13.9,.493,.304,.359,10.4,29.8,19.5,9.4,0.4,2.9,12.3,21.1,0.0,0.2,0.3,.055,-2.1,-1.8,-3.9,-0.1,2840160,4379526,6275861,0,0,0
1,Steven Adams,C,29,26.5,3.5,6.0,.591,0.0,0.0,.000,3.5,6.0,.595,.591,0.8,2.6,.325,4.9,5.6,10.5,2.2,0.8,1.1,1.9,2.3,7.9,16.8,.556,.005,.430,19.6,22.1,20.8,11.0,1.5,3.9,21.1,14.0,0.8,1.4,2.2,.129,-0.6,0.7,0.1,0.4,17926829,12600000,12600000,0,0,0
2,Bam Adebayo,C,25,35.3,8.3,15.5,.535,0.0,0.3,.100,8.3,15.2,.544,.536,4.2,5.1,.828,2.5,7.4,9.9,3.3,0.9,0.7,3.0,3.2,20.9,19.2,.587,.021,.326,8.0,25.0,16.2,16.1,1.3,1.9,14.6,26.1,1.1,1.6,2.7,.119,-0.3,0.4,0.1,0.6,30351780,32600060,34848340,37096620,0,0
3,Ochai Agbaji,SG,22,7.9,1.1,2.6,.405,0.3,1.3,.238,0.8,1.3,.571,.464,0.3,0.6,.444,0.4,0.7,1.1,0.2,0.1,0.0,0.0,0.8,2.7,7.1,.468,.500,.214,5.1,9.7,7.4,3.2,0.4,0.0,0.0,15.2,0.0,0.0,0.1,.028,-3.9,-2.7,-6.6,-0.1,3918360,4114200,4310280,6383525,8879483,0
4,Santi Aldama,PF,22,23.3,3.4,7.2,.475,1.3,3.5,.379,2.1,3.6,.567,.568,1.5,2.0,.716,1.2,4.0,5.2,1.3,0.7,0.9,0.6,2.3,9.6,15.2,.595,.492,.284,5.7,17.6,11.7,7.5,1.5,3.4,7.0,15.2,1.4,1.2,2.6,.159,0.3,1.6,1.9,0.8,2094120,2194200,3960531,5940797,0,0
5,Nickeil Alexander-Walker,SG,24,15.5,2.5,5.1,.489,1.1,2.7,.420,1.4,2.5,.563,.598,0.7,1.0,.731,0.3,1.3,1.6,2.3,0.7,0.4,1.3,1.7,6.8,13.9,.616,.519,.195,2.2,9.2,5.6,20.6,2.0,2.0,18.6,18.5,0.4,0.3,0.8,.090,0.0,0.5,0.5,0.3,5009633,7073602,0,0,0,0
6,Grayson Allen,SG,27,27.5,3.4,7.6,.443,1.7,4.5,.383,1.6,3.0,.532,.557,1.8,2.0,.934,1.0,2.6,3.6,2.5,0.7,0.2,1.1,1.4,10.3,13.0,.609,.600,.260,3.9,9.9,7.0,12.5,1.3,0.6,11.5,14.6,1.4,0.9,2.3,.129,0.0,0.5,0.5,0.5,8500000,8500000,0,0,0,0
7,Jarrett Allen,C,24,33.5,5.6,8.9,.625,0.0,0.1,.000,5.6,8.8,.635,.625,2.9,3.9,.735,3.0,7.2,10.2,1.4,0.8,1.2,1.5,2.2,14.0,19.0,.659,.015,.436,10.9,25.1,18.2,6.5,1.1,3.4,12.5,16.2,2.2,1.8,4.0,.196,0.9,1.1,2.0,1.0,20000000,20000000,20000000,20000000,0,0
8,Jose Alvarado,PG,24,20.7,3.3,7.8,.424,1.5,4.2,.350,1.8,3.6,.508,.518,1.0,1.4,.739,0.5,1.8,2.3,3.0,1.3,0.1,1.4,2.2,9.1,13.1,.541,.533,.179,2.5,9.9,6.2,19.9,3.0,0.6,14.0,19.9,0.3,1.0,1.3,.092,-1.8,1.3,-0.4,0.3,1563518,1836096,1988598,0,0,0
9,Kyle Anderson,PF,29,24.3,2.6,5.5,.478,0.4,1.2,.345,2.2,4.4,.514,.514,1.6,2.0,.800,0.5,3.7,4.2,3.4,1.1,0.8,1.4,1.9,7.3,12.8,.569,.210,.362,2.5,16.4,9.7,18.0,2.2,3.1,18.4,13.7,0.4,0.8,1.1,.091,-1.3,1.7,0.5,0.4,8780488,9219512,0,0,0,0
