,Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,TOV%,DRB%,FT/FGA,Attend.,Attend./G,Playoff_W
0,Boston Celtics,2023,242.8,42.2,88.1,0.479,15.9,42.2,0.376,26.3,45.8,0.575,18.6,22.5,0.827,9.2,34.7,43.9,26.4,6.7,5.2,13.7,19.4,118.8,27.4,26.0,6.78,-0.33,6.45,118.3,111.6,6.7,99.3,0.255,0.479,0.607,0.569,12.2,21.2,0.211,0.529,12.0,77.2,0.184,363964,18198,0
1,Sacramento Kings,2023,240.8,42.5,87.2,0.488,13.3,37.3,0.356,29.2,49.8,0.587,19.7,25.4,0.778,8.5,33.5,42.0,26.7,7.0,3.2,14.7,20.8,118.0,25.4,18.0,1.61,-0.24,1.37,115.8,114.2,1.6,101.6,0.291,0.428,0.6,0.564,13.0,20.6,0.226,0.551,12.8,78.3,0.217,287120,16889,0
2,New Orleans Pelicans,2023,244.4,43.1,89.4,0.483,11.4,30.9,0.367,31.8,58.4,0.544,20.2,25.7,0.786,11.7,33.7,45.4,26.9,8.8,4.4,15.3,20.4,117.8,25.7,22.0,5.24,-0.41,4.83,115.7,110.5,5.2,100.0,0.288,0.346,0.585,0.546,13.2,26.8,0.226,0.535,13.9,76.8,0.195,310639,16349,0
3,Utah Jazz,2023,242.0,42.3,90.0,0.47,14.8,40.1,0.368,27.6,49.9,0.552,17.5,22.5,0.776,11.8,31.8,43.6,25.9,7.1,4.8,15.4,21.2,116.9,26.9,19.0,0.81,0.07,0.88,115.9,115.1,0.8,100.0,0.251,0.445,0.585,0.552,13.4,26.6,0.194,0.54,12.6,73.4,0.215,309502,18206,0
4,Golden State Warriors,2023,240.7,42.3,89.1,0.475,16.0,42.5,0.376,26.3,46.6,0.565,15.8,19.9,0.797,9.4,33.7,43.1,29.2,6.6,3.9,16.9,22.1,116.4,27.0,18.0,-0.61,0.14,-0.47,113.1,113.7,-0.6,102.6,0.223,0.477,0.595,0.564,14.7,22.0,0.178,0.538,13.0,76.0,0.228,307088,18064,0
5,Denver Nuggets,2023,241.5,43.7,86.3,0.506,11.7,30.1,0.388,32.0,56.2,0.569,17.1,23.1,0.743,10.2,32.8,43.0,28.5,7.3,4.4,15.1,19.5,116.2,26.7,22.0,1.94,-0.62,1.33,117.0,115.1,1.9,98.7,0.267,0.349,0.602,0.574,13.6,24.8,0.199,0.559,12.5,78.2,0.202,285669,19045,0
6,Oklahoma City Thunder,2023,244.3,42.8,92.9,0.461,11.6,33.5,0.347,31.2,59.4,0.526,18.5,23.2,0.797,11.5,32.9,44.5,24.1,8.1,5.2,14.4,21.6,115.7,22.9,15.0,-1.14,0.07,-1.08,112.0,113.1,-1.1,101.5,0.25,0.36,0.562,0.524,12.3,24.5,0.199,0.539,14.3,72.5,0.213,269050,14947,0
7,Los Angeles Lakers,2023,242.1,42.5,88.6,0.48,10.4,30.8,0.339,32.1,57.8,0.555,20.1,25.2,0.797,9.3,35.3,44.6,24.7,6.5,4.8,14.7,18.5,115.6,28.5,14.0,-2.03,-0.18,-2.2,112.6,114.5,-1.9,101.8,0.285,0.348,0.58,0.539,12.9,21.3,0.227,0.54,11.1,75.9,0.172,295087,18443,0
8,Memphis Grizzlies,2023,241.5,42.9,92.2,0.465,11.6,33.4,0.347,31.3,58.8,0.533,17.9,25.1,0.714,13.2,35.5,48.7,25.1,7.4,5.8,14.5,19.9,115.4,24.6,21.0,3.85,0.14,3.99,113.9,110.1,3.8,100.6,0.272,0.362,0.559,0.528,12.3,29.0,0.195,0.521,12.6,76.1,0.201,274678,17167,0
9,Phoenix Suns,2023,242.1,42.8,91.1,0.47,13.3,34.5,0.384,29.6,56.6,0.523,16.5,20.9,0.788,12.3,30.7,43.1,27.0,7.2,5.5,13.5,21.6,115.4,27.8,20.0,3.42,0.02,3.44,117.1,113.6,3.5,97.7,0.23,0.379,0.575,0.543,11.8,27.7,0.181,0.534,13.8,73.4,0.242,324349,17071,0
