Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
Brooklyn Nets,BKN,2021,157847950,270.97,641,240.9774436,308328.427
Brooklyn Nets,BKN,2020,163724180,258.811,792,297.7443609,294174.1137
Brooklyn Nets,BKN,2019,94820578,255.657,876,329.3233083,162091.9143
Brooklyn Nets,BKN,2018,77805720,251.107,801,301.1278195,140892.456
Brooklyn Nets,BKN,2017,89124239,245.12,737,277.0676692,170674.7291
Brooklyn Nets,BKN,2016,65405906,240.007,587,220.6766917,141975.7356
Brooklyn Nets,BKN,2015,51712738,237.017,518,194.7368421,119773.6603
Brooklyn Nets,BKN,2014,88024730,236.736,479,180.075188,211186.1018
Brooklyn Nets,BKN,2013,102766374,232.957,456,171.4285714,254129.6754
Brooklyn Nets,BKN,2012,83048918,229.594,368,138.3458647,225713.2917
New Jersey Nets,BKN,2011,47743918,224.939,396,148.8721805,127722.0171
