,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Boston Celtics,BOS,2021,133042758,270.97,641,240.9774436,259875.8128,245773.8043
1,Boston Celtics,BOS,2020,127429245,258.811,792,297.7443609,228960.5922,214094.5081
2,Boston Celtics,BOS,2019,116889734,255.657,876,329.3233083,199818.2372,195822.891
3,Boston Celtics,BOS,2018,126135234,251.107,801,301.1278195,228408.6942,193132.0201
4,Boston Celtics,BOS,2017,115481314,245.12,737,277.0676692,221149.0635,197099.9609
5,Boston Celtics,BOS,2016,91484921,240.007,587,220.6766917,198585.1087,199784.2533
6,Boston Celtics,BOS,2015,58250334,237.017,518,194.7368421,134915.6124,166383.5677
7,Boston Celtics,BOS,2014,52905065,236.736,479,180.075188,126928.1308,155269.4738
8,Boston Celtics,BOS,2013,69955361,232.957,456,171.4285714,172991.7335,156456.4108
9,Boston Celtics,BOS,2012,70261284,229.594,368,138.3458647,190958.6069,174126.9676
10,Boston Celtics,BOS,2011,76053505,224.939,396,148.8721805,203454.3346,161738.1226
