,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Charlotte Hornets,CHA,2021,110117912,270.97,641,240.9774436,215096.1263,245773.8043
1,Charlotte Hornets,CHA,2020,98277101,258.811,792,297.7443609,176580.9979,214094.5081
2,Charlotte Hornets,CHA,2019,97765606,255.657,876,329.3233083,167126.3197,195822.891
3,Charlotte Hornets,CHA,2018,121810182,251.107,801,301.1278195,220576.7867,193132.0201
4,Charlotte Hornets,CHA,2017,117228164,245.12,737,277.0676692,224494.3167,197099.9609
5,Charlotte Hornets,CHA,2016,100201483,240.007,587,220.6766917,217506.0346,199784.2533
6,Charlotte Hornets,CHA,2015,78340920,237.017,518,194.7368421,181448.1132,166383.5677
7,Charlotte Hornets,CHA,2014,64710971,236.736,479,180.075188,155252.4809,155269.4738
8,Charlotte Bobcats,CHA,2013,49359172,232.957,456,171.4285714,122059.6764,156456.4108
9,Charlotte Bobcats,CHA,2012,57257078,229.594,368,138.3458647,155615.3151,174126.9676
10,Charlotte Bobcats,CHA,2011,57917825,224.939,396,148.8721805,154938.7178,161738.1226
