,Unnamed: 0,Team,Code,Year,Payroll,Annual,Revenue,Adjusted_Payroll
0,0,Chicago Bulls,CHI,2022,148557260,297.711,1000.0,114476.3818754715
1,1,Chicago Bulls,CHI,2021,132834003,270.97,641.0,145656.11039836836
2,2,Chicago Bulls,CHI,2020,127968089,258.811,792.0,121780.30968461504
3,3,Chicago Bulls,CHI,2019,111720511,255.657,876.0,98722.94431970111
4,4,Chicago Bulls,CHI,2018,93022110,251.107,801.0,88415.06614821496
5,5,Chicago Bulls,CHI,2017,63826969,245.12,737.0,64988.97181607135
6,6,Chicago Bulls,CHI,2016,92786833,240.007,587.0,112195.94634628244
7,7,Chicago Bulls,CHI,2015,101850797,237.017,518.0,134898.68042706323
8,8,Chicago Bulls,CHI,2014,67099204,236.736,479.0,93748.53856729296
9,9,Chicago Bulls,CHI,2013,63312273,232.957,456.0,91895.82659004844
10,10,Chicago Bulls,CHI,2012,74105866,229.594,368.0,124007.04491678296
11,11,Chicago Bulls,CHI,2011,68873614,224.939,396.0,110918.48635695294
