,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Detroit Pistons,DET,2021,84282761,270.97,641,240.9774436,164631.6669,245773.8043
1,Detroit Pistons,DET,2020,76373096,258.811,792,297.7443609,137224.6166,214094.5081
2,Detroit Pistons,DET,2019,104275681,255.657,876,329.3233083,178255.0276,195822.891
3,Detroit Pistons,DET,2018,116292254,251.107,801,301.1278195,210584.7909,193132.0201
4,Detroit Pistons,DET,2017,113040993,245.12,737,277.0676692,216475.7992,197099.9609
5,Detroit Pistons,DET,2016,102503259,240.007,587,220.6766917,222502.4694,199784.2533
6,Detroit Pistons,DET,2015,66217330,237.017,518,194.7368421,153368.2472,166383.5677
7,Detroit Pistons,DET,2014,49558917,236.736,479,180.075188,118900.1601,155269.4738
8,Detroit Pistons,DET,2013,61897253,232.957,456,171.4285714,153064.9394,156456.4108
9,Detroit Pistons,DET,2012,62495969,229.594,368,138.3458647,169853.7587,174126.9676
10,Detroit Pistons,DET,2011,57872787,224.939,396,148.8721805,154818.2345,161738.1226
