,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Golden State Warriors,GSW,2021,175192325,270.97,641,240.9774436,342207.6371,245773.8043
1,Golden State Warriors,GSW,2020,168323849,258.811,792,297.7443609,302438.6446,214094.5081
2,Golden State Warriors,GSW,2019,130342231,255.657,876,329.3233083,222814.7327,195822.891
3,Golden State Warriors,GSW,2018,144517971,251.107,801,301.1278195,261696.5934,193132.0201
4,Golden State Warriors,GSW,2017,133611005,245.12,737,277.0676692,255867.7902,197099.9609
5,Golden State Warriors,GSW,2016,97520106,240.007,587,220.6766917,211685.605,199784.2533
6,Golden State Warriors,GSW,2015,88971214,237.017,518,194.7368421,206069.3046,166383.5677
7,Golden State Warriors,GSW,2014,71881167,236.736,479,180.075188,172454.9846,155269.4738
8,Golden State Warriors,GSW,2013,71069466,232.957,456,171.4285714,175746.7898,156456.4108
9,Golden State Warriors,GSW,2012,69667990,229.594,368,138.3458647,189346.1315,174126.9676
10,Golden State Warriors,GSW,2011,56555931,224.939,396,148.8721805,151295.4506,161738.1226
