,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Indiana Pacers,IND,2021,122438198,270.97,641,240.9774436,239161.6552,245773.8043
1,Indiana Pacers,IND,2020,124750319,258.811,792,297.7443609,224147.1878,214094.5081
2,Indiana Pacers,IND,2019,112346544,255.657,876,329.3233083,192051.839,195822.891
3,Indiana Pacers,IND,2018,99581987,251.107,801,301.1278195,180325.4403,193132.0201
4,Indiana Pacers,IND,2017,90081320,245.12,737,277.0676692,172507.5587,197099.9609
5,Indiana Pacers,IND,2016,85614337,240.007,587,220.6766917,185841.9096,199784.2533
6,Indiana Pacers,IND,2015,66751826,237.017,518,194.7368421,154606.2119,166383.5677
7,Indiana Pacers,IND,2014,74798942,236.736,479,180.075188,179455.2165,155269.4738
8,Indiana Pacers,IND,2013,65850484,232.957,456,171.4285714,162840.8347,156456.4108
9,Indiana Pacers,IND,2012,66225684,229.594,368,138.3458647,179990.5103,174126.9676
10,Indiana Pacers,IND,2011,44413746,224.939,396,148.8721805,118813.3162,161738.1226
