,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Los Angeles Clippers,LAC,2021,164493220,270.97,641,240.9774436,321308.8024,245773.8043
1,Los Angeles Clippers,LAC,2020,137010779,258.811,792,297.7443609,246176.371,214094.5081
2,Los Angeles Clippers,LAC,2019,128442811,255.657,876,329.3233083,219567.7516,195822.891
3,Los Angeles Clippers,LAC,2018,83224562,251.107,801,301.1278195,150705.0245,193132.0201
4,Los Angeles Clippers,LAC,2017,116141747,245.12,737,277.0676692,222413.8061,197099.9609
5,Los Angeles Clippers,LAC,2016,114094528,240.007,587,220.6766917,247663.4838,199784.2533
6,Los Angeles Clippers,LAC,2015,94554340,237.017,518,194.7368421,219000.5757,166383.5677
7,Los Angeles Clippers,LAC,2014,77554797,236.736,479,180.075188,186066.9752,155269.4738
8,Los Angeles Clippers,LAC,2013,72099475,232.957,456,171.4285714,178293.8861,156456.4108
9,Los Angeles Clippers,LAC,2012,68400718,229.594,368,138.3458647,185901.8947,174126.9676
10,Los Angeles Clippers,LAC,2011,68433967,224.939,396,148.8721805,183070.9475,161738.1226
