,Unnamed: 0,Team,Code,Year,Payroll,Annual,Revenue,Adjusted_Payroll
0,0,Los Angeles Lakers,LAL,2022,170376160,297.711,1000.0,131289.75557732038
1,1,Los Angeles Lakers,LAL,2021,148106001,270.97,641.0,162402.27310108885
2,2,Los Angeles Lakers,LAL,2020,129314031,258.811,792.0,123061.16989639432
3,3,Los Angeles Lakers,LAL,2019,107807481,255.657,876.0,95265.15631503184
4,4,Los Angeles Lakers,LAL,2018,90654646,251.107,801.0,86164.85395496846
5,5,Los Angeles Lakers,LAL,2017,93848506,245.12,737.0,95557.06634627131
6,6,Los Angeles Lakers,LAL,2016,85639596,240.007,587.0,103553.65311297245
7,7,Los Angeles Lakers,LAL,2015,71770430,237.017,518.0,95058.03180590636
8,8,Los Angeles Lakers,LAL,2014,59483328,236.736,479.0,83107.91688555558
9,9,Los Angeles Lakers,LAL,2013,74858550,232.957,456.0,108654.8942822266
10,10,Los Angeles Lakers,LAL,2012,99646980,229.594,368.0,166746.95529071576
11,11,Los Angeles Lakers,LAL,2011,81371048,224.939,396.0,131045.15580435438
