,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Memphis Grizzlies,MEM,2021,98318869,270.97,641,240.9774436,192048.7547,245773.8043
1,Memphis Grizzlies,MEM,2020,96358089,258.811,792,297.7443609,173132.9815,214094.5081
2,Memphis Grizzlies,MEM,2019,97524703,255.657,876,329.3233083,166714.5058,195822.891
3,Memphis Grizzlies,MEM,2018,119619058,251.107,801,301.1278195,216609.0471,193132.0201
4,Memphis Grizzlies,MEM,2017,100033826,245.12,737,277.0676692,191566.81,197099.9609
5,Memphis Grizzlies,MEM,2016,108352164,240.007,587,220.6766917,235198.6101,199784.2533
6,Memphis Grizzlies,MEM,2015,76017172,237.017,518,194.7368421,176066.0001,166383.5677
7,Memphis Grizzlies,MEM,2014,73989079,236.736,479,180.075188,177512.2193,155269.4738
8,Memphis Grizzlies,MEM,2013,71361909,232.957,456,171.4285714,176469.9684,156456.4108
9,Memphis Grizzlies,MEM,2012,62366281,229.594,368,138.3458647,169501.2881,174126.9676
10,Memphis Grizzlies,MEM,2011,67634641,224.939,396,148.8721805,180932.6326,161738.1226
