,Team,Code,Year,Payroll,Annual,Revenue,Adjusted Payroll
0,Miami Heat,MIA,2021,130116017,270.97,641.0,142675.76455365855
1,Miami Heat,MIA,2020,126781448,258.811,792.0,120651.04761941016
2,Miami Heat,MIA,2019,128951102,255.657,876.0,113948.9279878974
3,Miami Heat,MIA,2018,122657637,251.107,801.0,116582.85421539824
4,Miami Heat,MIA,2017,103753306,245.12,737.0,105642.18832729198
5,Miami Heat,MIA,2016,96523509,240.007,587.0,116714.25876685444
6,Miami Heat,MIA,2015,82549106,237.017,518.0,109334.10241093909
7,Miami Heat,MIA,2014,75084575,236.736,479.0,104905.40506555489
8,Miami Heat,MIA,2013,80541886,232.957,456.0,116904.08254796744
9,Miami Heat,MIA,2012,80736455,229.594,368.0,135102.51943627276
10,Miami Heat,MIA,2011,73036309,224.939,396.0,117622.35742963481
