Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
Milwaukee Bucks,MIL,2021,152266626,270.97,641,240.9774436,297426.2845
Milwaukee Bucks,MIL,2020,126429087,258.811,792,297.7443609,227163.5418
Milwaukee Bucks,MIL,2019,120683725,255.657,876,329.3233083,206303.9102
Milwaukee Bucks,MIL,2018,114955757,251.107,801,301.1278195,208164.6302
Milwaukee Bucks,MIL,2017,100039227,245.12,737,277.0676692,191577.153
Milwaukee Bucks,MIL,2016,89559893,240.007,587,220.6766917,194406.4759
Milwaukee Bucks,MIL,2015,68656240,237.017,518,194.7368421,159017.091
Milwaukee Bucks,MIL,2014,44560189,236.736,479,180.075188,106907.3726
Milwaukee Bucks,MIL,2013,47079048,232.957,456,171.4285714,116421.1864
Milwaukee Bucks,MIL,2012,61658839,229.594,368,138.3458647,167578.5771
Milwaukee Bucks,MIL,2011,65940004,224.939,396,148.8721805,176399.2289
