,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Minnesota Timberwolves,MIN,2021,136105827,270.97,641,240.9774436,265858.9836,245773.8043
1,Minnesota Timberwolves,MIN,2020,128339053,258.811,792,297.7443609,230595.3046,214094.5081
2,Minnesota Timberwolves,MIN,2019,114357931,255.657,876,329.3233083,195490.2231,195822.891
3,Minnesota Timberwolves,MIN,2018,117388804,251.107,801,301.1278195,212570.4498,193132.0201
4,Minnesota Timberwolves,MIN,2017,102739777,245.12,737,277.0676692,196748.7611,197099.9609
5,Minnesota Timberwolves,MIN,2016,59494555,240.007,587,220.6766917,129144.0441,199784.2533
6,Minnesota Timberwolves,MIN,2015,59841104,237.017,518,194.7368421,138600.0498,166383.5677
7,Minnesota Timberwolves,MIN,2014,64182806,236.736,479,180.075188,153985.3244,155269.4738
8,Minnesota Timberwolves,MIN,2013,66354404,232.957,456,171.4285714,164086.9722,156456.4108
9,Minnesota Timberwolves,MIN,2012,60238958,229.594,368,138.3458647,163719.5743,174126.9676
10,Minnesota Timberwolves,MIN,2011,55406532,224.939,396,148.8721805,148220.6389,161738.1226
