,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,New Orleans Pelicans,NOP,2021,132604966,270.97,641,240.9774436,259020.6625,245773.8043
1,New Orleans Pelicans,NOP,2020,131561774,258.811,792,297.7443609,236385.7816,214094.5081
2,New Orleans Pelicans,NOP,2019,117797425,255.657,876,329.3233083,201369.898,195822.891
3,New Orleans Pelicans,NOP,2018,99636769,251.107,801,301.1278195,180424.6409,193132.0201
4,New Orleans Pelicans,NOP,2017,115907328,245.12,737,277.0676692,221964.8889,197099.9609
5,New Orleans Pelicans,NOP,2016,94338640,240.007,587,220.6766917,204779.6388,199784.2533
6,New Orleans Pelicans,NOP,2015,80164538,237.017,518,194.7368421,185671.8579,166383.5677
7,New Orleans Pelicans,NOP,2014,68280315,236.736,479,180.075188,163815.9362,155269.4738
8,New Orleans Pelicans,NOP,2013,62235672,232.957,456,171.4285714,153901.8115,156456.4108
9,New Orleans Hornets,NOH,2012,46311220,229.594,368,138.3458647,125866.2745,174126.9676
10,New Orleans Hornets,NOH,2011,54965856,224.939,396,148.8721805,147041.7656,161738.1226
