,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,New York Knicks,NYK,2021,108415633,270.97,641,240.9774436,211771.0213,245773.8043
1,New York Knicks,NYK,2020,81511334,258.811,792,297.7443609,146456.8302,214094.5081
2,New York Knicks,NYK,2019,100220276,255.657,876,329.3233083,171322.478,195822.891
3,New York Knicks,NYK,2018,62775458,251.107,801,301.1278195,113675.2986,193132.0201
4,New York Knicks,NYK,2017,98086116,245.12,737,277.0676692,187836.9057,197099.9609
5,New York Knicks,NYK,2016,80469422,240.007,587,220.6766917,174673.9106,199784.2533
6,New York Knicks,NYK,2015,59283244,237.017,518,194.7368421,137307.9709,166383.5677
7,New York Knicks,NYK,2014,54410045,236.736,479,180.075188,130538.8305,155269.4738
8,New York Knicks,NYK,2013,85994825,232.957,456,171.4285714,212655.5226,156456.4108
9,New York Knicks,NYK,2012,74741057,229.594,368,138.3458647,203133.8927,174126.9676
10,New York Knicks,NYK,2011,60549804,224.939,396,148.8721805,161979.6495,161738.1226
