Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
Orlando Magic,ORL,2021,110991562,270.97,641,240.9774436,216802.6492
Orlando Magic,ORL,2020,109375123,258.811,792,297.7443609,196521.5515
Orlando Magic,ORL,2019,125365088,255.657,876,329.3233083,214306.5095
Orlando Magic,ORL,2018,112686749,251.107,801,301.1278195,204055.8564
Orlando Magic,ORL,2017,94946559,245.12,737,277.0676692,181824.5903
Orlando Magic,ORL,2016,102502863,240.007,587,220.6766917,222501.6098
Orlando Magic,ORL,2015,61108745,237.017,518,194.7368421,141536.0769
Orlando Magic,ORL,2014,41311716,236.736,479,180.075188,99113.74068
Orlando Magic,ORL,2013,34022974,232.957,456,171.4285714,84134.98504
Orlando Magic,ORL,2012,57651721,229.594,368,138.3458647,156687.8899
Orlando Magic,ORL,2011,68849150,224.939,396,148.8721805,184181.6232
