,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
0,Philadelphia 76ers,PHI,2021,145133832,270.97,641,240.9774436,283493.6160232054
1,Philadelphia 76ers,PHI,2020,144293484,258.811,792,297.7443609,259261.69099631792
2,Philadelphia 76ers,PHI,2019,126594115,255.657,876,329.3233083,216407.48107896608
3,Philadelphia 76ers,PHI,2018,107554205,251.107,801,301.1278195,194761.72309703482
4,Philadelphia 76ers,PHI,2017,89638648,245.12,737,277.0676692,171659.83282854583
5,Philadelphia 76ers,PHI,2016,61733864,240.007,587,220.6766917,134004.8825522599
6,Philadelphia 76ers,PHI,2015,31052215,237.017,518,194.7368421,71921.10867842118
7,Philadelphia 76ers,PHI,2014,34387296,236.736,479,180.075188,82500.89486561478
8,Philadelphia 76ers,PHI,2013,27287899,232.957,456,171.4285714,67479.90267191813
9,Philadelphia 76ers,PHI,2012,63742383,229.594,368,138.3458647,173241.30684228084
10,Philadelphia 76ers,PHI,2011,57855224,224.939,396,148.8721805,154771.250882904
