,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Phoenix Suns,PHX,2021,129978256,270.97,641,240.9774436,253889.8428,245773.8043
1,Phoenix Suns,PHX,2020,126329911,258.811,792,297.7443609,226985.3457,214094.5081
2,Phoenix Suns,PHX,2019,98005821,255.657,876,329.3233083,167536.9574,195822.891
3,Phoenix Suns,PHX,2018,68854080,251.107,801,301.1278195,124682.6125,193132.0201
4,Phoenix Suns,PHX,2017,74114136,245.12,737,277.0676692,141930.0768,197099.9609
5,Phoenix Suns,PHX,2016,72521524,240.007,587,220.6766917,157421.5135,199784.2533
6,Phoenix Suns,PHX,2015,63389393,237.017,518,194.7368421,146818.3646,166383.5677
7,Phoenix Suns,PHX,2014,55464385,236.736,479,180.075188,133068.3691,155269.4738
8,Phoenix Suns,PHX,2013,47314683,232.957,456,171.4285714,117003.8853,156456.4108
9,Phoenix Suns,PHX,2012,51913298,229.594,368,138.3458647,141091.8005,174126.9676
10,Phoenix Suns,PHX,2011,56292681,224.939,396,148.8721805,150591.2181,161738.1226
