,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
0,Portland Trail Blazers,POR,2021,114901279,270.97,641,240.9774436,224439.59909637878
1,Portland Trail Blazers,POR,2020,125356909,258.811,792,297.7443609,225237.08835952388
2,Portland Trail Blazers,POR,2019,131037504,255.657,876,329.3233083,224003.27351326673
3,Portland Trail Blazers,POR,2018,128004910,251.107,801,301.1278195,231794.34812874926
4,Portland Trail Blazers,POR,2017,114016865,245.12,737,277.0676692,218344.6138716291
5,Portland Trail Blazers,POR,2016,111369193,240.007,587,220.6766917,241747.63510518253
6,Portland Trail Blazers,POR,2015,48301816,237.017,518,194.7368421,111873.5058964748
7,Portland Trail Blazers,POR,2014,72964755,236.736,479,180.075188,175054.6940692964
8,Portland Trail Blazers,POR,2013,62599372,232.957,456,171.4285714,154801.20070376972
9,Portland Trail Blazers,POR,2012,54632812,229.594,368,138.3458647,148482.99203606247
10,Portland Trail Blazers,POR,2011,64247715,224.939,396,148.8721805,171872.10643101673
