,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Sacramento Kings,SAC,2021,127554712,270.97,641,240.9774436,249155.8725,245773.8043
1,Sacramento Kings,SAC,2020,93989320,258.811,792,297.7443609,168876.8568,214094.5081
2,Sacramento Kings,SAC,2019,112819088,255.657,876,329.3233083,192859.6337,195822.891
3,Sacramento Kings,SAC,2018,92287612,251.107,801,301.1278195,167116.6119,193132.0201
4,Sacramento Kings,SAC,2017,77725702,245.12,737,277.0676692,148846.2991,197099.9609
5,Sacramento Kings,SAC,2016,87669044,240.007,587,220.6766917,190302.035,199784.2533
6,Sacramento Kings,SAC,2015,71733666,237.017,518,194.7368421,166144.8238,166383.5677
7,Sacramento Kings,SAC,2014,73061908,236.736,479,180.075188,175287.7804,155269.4738
8,Sacramento Kings,SAC,2013,58206752,232.957,456,171.4285714,143938.7459,156456.4108
9,Sacramento Kings,SAC,2012,51000236,229.594,368,138.3458647,138610.2483,174126.9676
10,Sacramento Kings,SAC,2011,36583409,224.939,396,148.8721805,97866.01073,161738.1226
