,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,San Antonio Spurs,SAS,2021,79863201,270.97,641,240.9774436,155998.8276,245773.8043
1,San Antonio Spurs,SAS,2020,104117063,258.811,792,297.7443609,187074.0457,214094.5081
2,San Antonio Spurs,SAS,2019,111915368,255.657,876,329.3233083,191314.7612,195822.891
3,San Antonio Spurs,SAS,2018,101438941,251.107,801,301.1278195,183688.057,193132.0201
4,San Antonio Spurs,SAS,2017,114051642,245.12,737,277.0676692,218411.2125,197099.9609
5,San Antonio Spurs,SAS,2016,105303720,240.007,587,220.6766917,228581.393,199784.2533
6,San Antonio Spurs,SAS,2015,85192733,237.017,518,194.7368421,197317.8341,166383.5677
7,San Antonio Spurs,SAS,2014,69028330,236.736,479,180.075188,165610.5498,155269.4738
8,San Antonio Spurs,SAS,2013,63171742,232.957,456,171.4285714,156216.6073,156456.4108
9,San Antonio Spurs,SAS,2012,69407505,229.594,368,138.3458647,188638.1761,174126.9676
10,San Antonio Spurs,SAS,2011,70626485,224.939,396,148.8721805,188936.2563,161738.1226
