Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
Toronto Raptors,TOR,2021,130912460,270.97,641,240.9774436,255714.6473
Toronto Raptors,TOR,2020,121290132,258.811,792,297.7443609,217930.0399
Toronto Raptors,TOR,2019,125463535,255.657,876,329.3233083,214474.8006
Toronto Raptors,TOR,2018,135355561,251.107,801,301.1278195,245105.0825
Toronto Raptors,TOR,2017,115391026,245.12,737,277.0676692,220976.1601
Toronto Raptors,TOR,2016,108688646,240.007,587,220.6766917,235929.0072
Toronto Raptors,TOR,2015,71217611,237.017,518,194.7368421,164949.5709
Toronto Raptors,TOR,2014,75424914,236.736,479,180.075188,180957.0284
Toronto Raptors,TOR,2013,63206362,232.957,456,171.4285714,156302.2187
Toronto Raptors,TOR,2012,67088346,229.594,368,138.3458647,182335.0836
Toronto Raptors,TOR,2011,50693030,224.939,396,148.8721805,135611.3264
