,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
0,Utah Jazz,UTH,2021,147351514,270.97,641,240.9774436,287825.47084096813
1,Utah Jazz,UTH,2020,135529368,258.811,792,297.7443609,243514.62140412562
2,Utah Jazz,UTH,2019,119985153,255.657,876,329.3233083,205109.72984490116
3,Utah Jazz,UTH,2018,113437858,251.107,801,301.1278195,205415.98246685712
4,Utah Jazz,UTH,2017,103837783,245.12,737,277.0676692,198851.46495144392
5,Utah Jazz,UTH,2016,80223192,240.007,587,220.6766917,174139.42243964178
6,Utah Jazz,UTH,2015,63160091,237.017,518,194.7368421,146287.27029456585
7,Utah Jazz,UTH,2014,47940340,236.736,479,180.075188,115016.92224249987
8,Utah Jazz,UTH,2013,47893335,232.957,456,171.4285714,118434.82653001501
9,Utah Jazz,UTH,2012,63344192,229.594,368,138.3458647,172159.08923499694
10,Utah Jazz,UTH,2011,58114489,224.939,396,148.8721805,155464.82296829
