,team,code,year,active
0,Los Angeles Clippers,LAC,2022,191952857
1,Golden State Warriors,GSW,2022,189494053
2,Brooklyn Nets,BKN,2022,181188628
3,Milwaukee Bucks,MIL,2022,176699627
4,Boston Celtics,BOS,2022,175519498
5,Los Angeles Lakers,LAL,2022,170376160
6,Phoenix Suns,PHX,2022,167152588
7,Dallas Mavericks,DAL,2022,163132392
8,Denver Nuggets,DEN,2022,160806228
9,Philadelphia 76ers,PHI,2022,151035256
10,Portland Trail Blazers,POR,2022,145787057
11,Miami Heat,MIA,2022,150081829
12,Washington Wizards,WAS,2022,149909036
13,Chicago Bulls,CHI,2022,148557260
14,Atlanta Hawks,ATL,2022,148480277
15,Cleveland Cavaliers,CLE,2022,147795778
16,Minnesota Timberwolves,MIN,2022,147207825
17,New Orleans Pelicans,NOP,2022,146694109
18,Toronto Raptors,TOR,2022,144236369
19,Utah Jazz,UTH,2022,137652428
20,New York Knicks,NYK,2022,142534668
21,Oklahoma City Thunder,OKC,2022,94753405
22,Houston Rockets,HOU,2022,73716218
23,Sacramento Kings,SAC,2022,132452965
24,Detroit Pistons,DET,2022,102216848
25,Charlotte Hornets,CHA,2022,112780318
26,Orlando Magic,ORL,2022,121624280
27,Memphis Grizzlies,MEM,2022,119471735
28,Indiana Pacers,IND,2022,94015075
29,San Antonio Spurs,SAS,2022,75377127
30,Golden State Warriors,GSW,2021,175192325
31,Brooklyn Nets,BKN,2021,157847950
32,Los Angeles Clippers,LAC,2021,164493220
33,Milwaukee Bucks,MIL,2021,152266626
34,Los Angeles Lakers,LAL,2021,148106001
35,Utah Jazz,UTH,2021,147351514
36,Philadelphia 76ers,PHI,2021,145133832
37,Indiana Pacers,IND,2021,122438198
38,Minnesota Timberwolves,MIN,2021,136105827
39,Denver Nuggets,DEN,2021,135863002
40,Boston Celtics,BOS,2021,133042758
41,Miami Heat,MIA,2021,130116017
42,Chicago Bulls,CHI,2021,132834003
43,Phoenix Suns,PHX,2021,129978256
44,Toronto Raptors,TOR,2021,130912460
45,New Orleans Pelicans,NOP,2021,132604966
46,Cleveland Cavaliers,CLE,2021,129666274
47,Atlanta Hawks,ATL,2021,132777480
48,Sacramento Kings,SAC,2021,127554712
49,Detroit Pistons,DET,2021,84282761
50,Houston Rockets,HOU,2021,112920049
51,San Antonio Spurs,SAS,2021,79863201
52,Washington Wizards,WAS,2021,126147247
53,Dallas Mavericks,DAL,2021,117318978
54,Portland Trail Blazers,POR,2021,114901279
55,Charlotte Hornets,CHA,2021,110117912
56,New York Knicks,NYK,2021,108415633
57,Orlando Magic,ORL,2021,110991562
58,Memphis Grizzlies,MEM,2021,98318869
59,Oklahoma City Thunder,OKC,2021,47135212
60,Golden State Warriors,GSW,2020,168323849
61,Brooklyn Nets,BKN,2020,163724180
62,Philadelphia 76ers,PHI,2020,144293484
63,Los Angeles Clippers,LAC,2020,137010779
64,Los Angeles Lakers,LAL,2020,129314031
65,Utah Jazz,UTH,2020,135529368
66,Milwaukee Bucks,MIL,2020,126429087
67,New Orleans Pelicans,NOP,2020,131561774
68,Miami Heat,MIA,2020,126781448
69,Memphis Grizzlies,MEM,2020,96358089
70,Boston Celtics,BOS,2020,127429245
71,Washington Wizards,WAS,2020,126243515
72,Portland Trail Blazers,POR,2020,125356909
73,Minnesota Timberwolves,MIN,2020,128339053
74,San Antonio Spurs,SAS,2020,104117063
75,Indiana Pacers,IND,2020,124750319
76,Denver Nuggets,DEN,2020,126468408
77,Houston Rockets,HOU,2020,122058089
78,Toronto Raptors,TOR,2020,121290132
79,Chicago Bulls,CHI,2020,127968089
80,Phoenix Suns,PHX,2020,126329911
81,Cleveland Cavaliers,CLE,2020,95972309
82,Dallas Mavericks,DAL,2020,124194840
83,Atlanta Hawks,ATL,2020,115950371
84,Detroit Pistons,DET,2020,76373096
85,Orlando Magic,ORL,2020,109375123
86,Charlotte Hornets,CHA,2020,98277101
87,Sacramento Kings,SAC,2020,93989320
88,New York Knicks,NYK,2020,81511334
89,Oklahoma City Thunder,OKC,2020,59343071
90,Portland Trail Blazers,POR,2019,131037504
91,Miami Heat,MIA,2019,128951102
92,Oklahoma City Thunder,OKC,2019,131847446
93,Minnesota Timberwolves,MIN,2019,114357931
94,Golden State Warriors,GSW,2019,130342231
95,Cleveland Cavaliers,CLE,2019,129260620
96,Washington Wizards,WAS,2019,87153787
97,Detroit Pistons,DET,2019,104275681
98,Milwaukee Bucks,MIL,2019,120683725
99,Denver Nuggets,DEN,2019,128643401
100,Los Angeles Clippers,LAC,2019,128442811
101,Philadelphia 76ers,PHI,2019,126594115
102,Memphis Grizzlies,MEM,2019,97524703
103,Houston Rockets,HOU,2019,124493840
104,Utah Jazz,UTH,2019,119985153
105,Brooklyn Nets,BKN,2019,94820578
106,Orlando Magic,ORL,2019,125365088
107,Toronto Raptors,TOR,2019,125463535
108,Charlotte Hornets,CHA,2019,97765606
109,San Antonio Spurs,SAS,2019,111915368
110,Dallas Mavericks,DAL,2019,117553325
111,Los Angeles Lakers,LAL,2019,107807481
112,Phoenix Suns,PHX,2019,98005821
113,Boston Celtics,BOS,2019,116889734
114,New Orleans Pelicans,NOP,2019,117797425
115,Sacramento Kings,SAC,2019,112819088
116,Indiana Pacers,IND,2019,112346544
117,Chicago Bulls,CHI,2019,111720511
118,Atlanta Hawks,ATL,2019,82491624
119,New York Knicks,NYK,2019,100220276
120,Golden State Warriors,GSW,2018,144517971
121,Oklahoma City Thunder,OKC,2018,138111761
122,Toronto Raptors,TOR,2018,135355561
123,Portland Trail Blazers,POR,2018,128004910
124,Boston Celtics,BOS,2018,126135234
125,Cleveland Cavaliers,CLE,2018,122168064
126,Washington Wizards,WAS,2018,115917170
127,Detroit Pistons,DET,2018,116292254
128,New York Knicks,NYK,2018,62775458
129,Miami Heat,MIA,2018,122657637
130,Milwaukee Bucks,MIL,2018,114955757
131,Memphis Grizzlies,MEM,2018,119619058
132,Houston Rockets,HOU,2018,120763311
133,Charlotte Hornets,CHA,2018,121810182
134,San Antonio Spurs,SAS,2018,101438941
135,Minnesota Timberwolves,MIN,2018,117388804
136,Los Angeles Clippers,LAC,2018,83224562
137,Brooklyn Nets,BKN,2018,77805720
138,Denver Nuggets,DEN,2018,116453842
139,New Orleans Pelicans,NOP,2018,99636769
140,Orlando Magic,ORL,2018,112686749
141,Utah Jazz,UTH,2018,113437858
142,Chicago Bulls,CHI,2018,93022110
143,Philadelphia 76ers,PHI,2018,107554205
144,Indiana Pacers,IND,2018,99581987
145,Phoenix Suns,PHX,2018,68854080
146,Los Angeles Lakers,LAL,2018,90654646
147,Sacramento Kings,SAC,2018,92287612
148,Atlanta Hawks,ATL,2018,62166838
149,Dallas Mavericks,DAL,2018,74347737
150,Golden State Warriors,GSW,2017,133611005
151,Cleveland Cavaliers,CLE,2017,135777082
152,Oklahoma City Thunder,OKC,2017,130477891
153,Washington Wizards,WAS,2017,122840421
154,Portland Trail Blazers,POR,2017,114016865
155,Detroit Pistons,DET,2017,113040993
156,Los Angeles Clippers,LAC,2017,116141747
157,New Orleans Pelicans,NOP,2017,115907328
